Id,logDate,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4388161847,04/28/2016,1,428,458
4388161847,04/30/2016,2,409,430
4388161847,05/01/2016,1,547,597
4388161847,05/02/2016,2,368,376
4388161847,05/04/2016,1,390,414
4388161847,05/05/2016,1,471,495
4388161847,05/05/2016,1,471,495
4388161847,05/07/2016,1,472,496
4388161847,05/08/2016,2,529,541
4388161847,05/09/2016,1,62,65
4388161847,05/10/2016,1,354,375
4388161847,05/11/2016,1,469,494
4445114986,04/12/2016,2,429,457
4445114986,04/13/2016,2,370,406
4445114986,04/14/2016,1,441,492
4445114986,04/15/2016,2,337,379
4445114986,04/16/2016,1,462,499
4445114986,04/17/2016,1,98,107
4445114986,04/19/2016,2,388,424
4445114986,04/20/2016,1,439,462
4445114986,04/21/2016,1,436,469
4445114986,04/22/2016,1,388,417
4445114986,04/25/2016,1,328,345
4445114986,04/26/2016,2,353,391
4445114986,04/27/2016,1,332,374
4445114986,04/28/2016,1,419,442
4445114986,04/29/2016,1,106,108
4445114986,04/30/2016,1,322,353
4445114986,05/01/2016,2,439,459
4445114986,05/02/2016,1,502,542
4445114986,05/03/2016,2,417,450
4445114986,05/04/2016,2,337,363
4445114986,05/05/2016,2,462,513
4445114986,05/06/2016,2,374,402
4445114986,05/07/2016,2,401,436
4445114986,05/08/2016,1,361,391
4445114986,05/09/2016,1,457,533
4445114986,05/10/2016,1,405,426
4445114986,05/11/2016,1,499,530
4445114986,05/12/2016,1,483,501
4558609924,04/21/2016,1,126,137
4558609924,04/26/2016,1,103,121
4558609924,04/29/2016,1,171,179
4558609924,05/01/2016,1,115,129
4558609924,05/08/2016,1,123,134
4702921684,04/12/2016,1,425,439
4702921684,04/13/2016,2,400,430
4702921684,04/14/2016,1,384,415
4702921684,04/15/2016,1,253,257
4702921684,04/16/2016,2,382,406
4702921684,04/17/2016,1,591,612
4702921684,04/18/2016,1,293,312
4702921684,04/19/2016,1,457,487
4702921684,04/20/2016,1,454,468
4702921684,04/21/2016,1,425,434
4702921684,04/23/2016,1,465,475
4702921684,04/24/2016,1,480,506
4702921684,04/25/2016,1,370,380
4702921684,04/26/2016,1,421,429
4702921684,04/27/2016,1,432,449
4702921684,04/28/2016,1,442,461
4702921684,04/29/2016,1,433,447
4702921684,04/30/2016,1,479,501
4702921684,05/03/2016,1,327,373
4702921684,05/04/2016,1,412,434
4702921684,05/05/2016,1,414,428
4702921684,05/06/2016,1,404,449
4702921684,05/07/2016,1,520,543
4702921684,05/07/2016,1,520,543
4702921684,05/09/2016,1,435,458
4702921684,05/10/2016,1,416,431
4702921684,05/11/2016,1,354,366
4702921684,05/12/2016,1,404,442
5553957443,04/12/2016,1,441,464
5553957443,04/13/2016,2,455,488
5553957443,04/14/2016,1,357,418
5553957443,04/15/2016,1,377,409
5553957443,04/16/2016,2,651,686
5553957443,04/17/2016,1,350,402
5553957443,04/18/2016,2,520,541
5553957443,04/19/2016,1,357,410
5553957443,04/20/2016,1,658,678
5553957443,04/21/2016,1,399,431
5553957443,04/22/2016,1,322,353
5553957443,04/23/2016,2,631,725
5553957443,04/24/2016,2,553,640
5553957443,04/25/2016,1,433,468
5553957443,04/26/2016,1,412,453
5553957443,04/27/2016,1,347,391
5553957443,04/28/2016,1,421,457
5553957443,04/29/2016,1,450,495
5553957443,04/30/2016,2,775,843
5553957443,05/01/2016,2,622,686
5553957443,05/02/2016,1,409,471
5553957443,05/03/2016,1,380,429
5553957443,05/04/2016,1,447,470
5553957443,05/05/2016,1,419,464
5553957443,05/06/2016,1,400,434
5553957443,05/07/2016,1,442,470
5553957443,05/08/2016,1,568,608
5553957443,05/09/2016,1,453,494
5553957443,05/10/2016,1,418,443
5553957443,05/11/2016,1,463,486
5553957443,05/12/2016,1,438,475
5577150313,04/12/2016,1,419,438
5577150313,04/13/2016,1,432,458
5577150313,04/14/2016,1,477,497
5577150313,04/15/2016,1,392,413
5577150313,04/16/2016,1,406,445
5577150313,04/17/2016,1,549,583
5577150313,04/18/2016,1,527,553
5577150313,04/19/2016,1,449,465
5577150313,04/20/2016,1,447,480
5577150313,04/21/2016,1,414,437
5577150313,04/22/2016,1,338,366
5577150313,04/23/2016,1,384,402
5577150313,04/24/2016,1,543,615
5577150313,04/25/2016,1,421,461
5577150313,04/26/2016,1,354,377
5577150313,04/27/2016,1,424,452
5577150313,04/28/2016,1,361,372
5577150313,04/29/2016,1,459,485
5577150313,04/30/2016,1,412,433
5577150313,05/01/2016,1,379,398
5577150313,05/02/2016,2,525,553
5577150313,05/03/2016,1,508,543
5577150313,05/04/2016,1,603,634
5577150313,05/05/2016,1,74,78
5577150313,05/10/2016,1,504,562
5577150313,05/11/2016,1,431,476
6117666160,04/16/2016,1,380,398
6117666160,04/17/2016,2,336,350
6117666160,04/18/2016,2,493,510
6117666160,04/19/2016,1,465,492
6117666160,04/20/2016,1,474,502
6117666160,04/21/2016,1,508,550
6117666160,04/22/2016,1,480,546
6117666160,04/23/2016,1,492,539
6117666160,04/24/2016,1,353,367
6117666160,04/27/2016,1,542,557
6117666160,04/28/2016,1,393,416
6117666160,04/29/2016,1,600,636
6117666160,05/01/2016,1,507,575
6117666160,05/05/2016,1,392,415
6117666160,05/06/2016,2,658,698
6117666160,05/07/2016,2,498,507
6117666160,05/08/2016,1,555,603
